Altium Designer Pick and Place Locations
C:\Projects\VentilatorRev1InterimDaughtercard\Project Outputs for VentilatorRev1InterimDaughtercard\ASSY PKG\Pick Place for VentilatorRev1InterimDaughtercard.csv

========================================================================================================================
File Design Information:

Date:       05/08/20
Time:       16:48
Revision:   590c71eb675e5dfb7a4265bcd19e9c7985852799
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R17","RES 0603","TopLayer","RES0603","110.233","728.348","270","Res 0603"
"R16","RES 0603","TopLayer","RES0603","236.217","728.348","270","Res 0603"
"C15","CAP 0603","TopLayer","CAP0603","2098.424","602.359","360","Cap 0603"
"U2","BMP280","TopLayer","BMP280","2055.118","704.724","0","Pressure Sensor 4.35PSI ~ 15.95PSI (30kPa ~ 110kPa) Absolute  16b 8-SMD"
"U8","INA333","TopLayer","8-VSSOP","783.465","1653.543","360","Instrumentation Amp, GBW=1MHz"
"R15","RES 0603","TopLayer","RES0603","614.175","2086.617","180","Res 0603"
"R14","RES 0603","TopLayer","RES0603","614.172","2157.477","360","Res 0603"
"R13","RES 0603","TopLayer","RES0603","598.428","1720.471","90","Res 0603"
"R12","RES 0603","TopLayer","RES0603","984.255","1673.227","90","Res 0603"
"R11","RES 0603","TopLayer","RES0603","838.581","1771.650","0","Res 0603"
"R10","RES 0603","TopLayer","RES0603","527.556","1720.474","270","Res 0603"
"R9","RES 0603","TopLayer","RES0603","263.778","1744.091","0","Res 0603"
"J2","B2B-XH-AM(LF)(SN)","TopLayer","JST_B2B-XH-AM","360.236","2118.110","180","CONN HEADER VERT 2POS 2.5MM"
"C14","CAP 0603","TopLayer","CAP0603","1055.115","1673.230","270","Cap 0603"
"C13","CAP 0603","TopLayer","CAP0603","759.841","1535.430","360","Cap 0603"
"P2","Header 4","TopLayer","HDR1X4","2633.858","1514.567","90","Header, 4-Pin"
"C12","CAP 0603","TopLayer","CAP0603","2114.175","1267.720","180","Cap 0603"
"C11","CAP 0603","TopLayer","CAP0603","1877.950","1070.868","270","Cap 0603"
